repo,authors_in_window,commits,top_author_class,top_author_share
R00,7,95,human account,0.8
R01,2,97,unknown,0.99
R02,11,210,unknown,0.376
R03,2,26,unknown,0.923
R04,2,13,unknown,0.923
R05,24,435,unknown,0.453
R06,3,1482,human account,0.897
R07,4,9,unknown,0.444
R08,3,124,unknown,0.758
R09,1,17,unknown,1.0
