repo,commit,committed,author_class,author_subclass,file,section,package,change,before,after,packages_changed_in_commit,message_class
R06,454efcc9c6,2026-04-10T00:20:03+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,anthropic,added,,">=0.30.0,<2",15,dependency-update wording
R06,454efcc9c6,2026-04-10T00:20:03+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,fastapi,added,,">=0.135.1,<1",15,dependency-update wording
R06,454efcc9c6,2026-04-10T00:20:03+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,mcp,added,,>=1.0,15,dependency-update wording
R06,454efcc9c6,2026-04-10T00:20:03+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,plotly,added,,">=5.0.0,<6",15,dependency-update wording
R06,454efcc9c6,2026-04-10T00:20:03+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,qrcode,added,,">=7.0,<9",15,dependency-update wording
R06,454efcc9c6,2026-04-10T00:20:03+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,sse-starlette,added,,">=2.0.0,<3",15,dependency-update wording
R06,454efcc9c6,2026-04-10T00:20:03+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,uvicorn,added,,">=0.30.0,<1",15,dependency-update wording
R06,761d5e749d,2026-04-13T07:52:50+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,extra:pyodide,diff-match-patch,added,,>=20230430,2,other
R06,761d5e749d,2026-04-13T07:52:50+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,extra:pyodide,openpyxl,added,,">=3.1.5,<4",2,other
R06,54b933011e,2026-04-13T14:32:29+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,extra:pyodide,diff-match-patch,removed,>=20230430,,2,other
R06,54b933011e,2026-04-13T14:32:29+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,extra:pyodide,openpyxl,removed,">=3.1.5,<4",,2,other
R06,3b4fa3d1b0,2026-04-13T22:57:18+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,httpx,changed,">=0.28.1,<1",,7,other
R06,3b4fa3d1b0,2026-04-13T22:57:18+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,lxml,changed,">=6.0.2,<7",,7,other
R06,3b4fa3d1b0,2026-04-13T22:57:18+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,marimo,changed,>=0.22.0,>=0.23.1,7,other
R06,3b4fa3d1b0,2026-04-13T22:57:18+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,numpy,changed,">=1.26.0,<3",,7,other
R06,3b4fa3d1b0,2026-04-13T22:57:18+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,polars,changed,">=1.0.0,<2",,7,other
R06,3b4fa3d1b0,2026-04-13T22:57:18+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,pyarrow,added,,,7,other
R06,3b4fa3d1b0,2026-04-13T22:57:18+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,rich,changed,">=14.3.3,<15",,7,other
R06,3fba7f2dd7,2026-04-20T04:44:46+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,group:dev,networkx,added,,>=3.0,1,dependency-update wording
R06,f479da0321,2026-04-21T10:03:17+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,plotext,added,,">=5.2.8,<6",1,other
R07,6a50d1d521,2026-03-26T10:11:34+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,mistralai,changed,==2.0.0,==2.1.3,1,release wording
R07,54b9a17457,2026-03-31T16:28:55+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,agent-client-protocol,changed,==0.8.1,==0.9.0,1,release wording
R07,e9a9217cc8,2026-04-09T18:40:46+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,group:dev,pyinstrument,added,,>=5.1.2,1,release wording
R07,e1a25caa52,2026-04-14T10:33:15+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,charset-normalizer,added,,>=3.4.4,3,release wording
R07,e1a25caa52,2026-04-14T10:33:15+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,jsonpatch,added,,>=1.33,3,release wording
R07,e1a25caa52,2026-04-14T10:33:15+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,textual,changed,>=8.1.1,>=8.2.1,3,release wording
R07,95336528f6,2026-04-16T11:10:26+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,mistralai,changed,==2.1.3,==2.3.2,1,release wording
R08,a8b30bd0fc,2026-03-29T18:09:11+02:00,unknown,"no bot marker, not a GitHub noreply address",requirements.txt,req,sentry-sdk,changed,==2.51.0,==2.56.0,1,dependency-update wording
R08,37e5e67bba,2026-03-29T22:36:38+02:00,unknown,"no bot marker, not a GitHub noreply address",infra/node/requirements.txt,req,ansible-core,added,,">=2.16,<2.18",1,dependency-update wording
R08,5288460f4e,2026-04-09T09:14:49+02:00,unknown,"no bot marker, not a GitHub noreply address",packages/node/requirements.txt,req,dbos,changed,==2.15.0,==2.17.0,1,other
R08,07bb29b010,2026-04-14T15:50:11+02:00,unknown,"no bot marker, not a GitHub noreply address",infra/node/requirements.txt,req,ansible-core,removed,">=2.16,<2.18",,2,other
R08,07bb29b010,2026-04-14T15:50:11+02:00,unknown,"no bot marker, not a GitHub noreply address",infra/sync/requirements.txt,req,ansible-core,removed,">=2.16,<2.18",,2,other
R08,194276b1eb,2026-04-15T22:17:40+02:00,unknown,"no bot marker, not a GitHub noreply address",extra_requirements.txt,req,aiohttp-socks,added,,==0.11.0,1,other
R08,f1a0bfd3bb,2026-04-21T23:00:16+02:00,unknown,"no bot marker, not a GitHub noreply address",packages/sync/full_requirements.txt,req,starfish-server,changed,==1.1.0,==1.18.1,2,dependency-update wording
R08,f1a0bfd3bb,2026-04-21T23:00:16+02:00,unknown,"no bot marker, not a GitHub noreply address",packages/sync/requirements.txt,req,starfish-sdk,changed,==1.1.1,==1.18.1,2,dependency-update wording
R09,5a7c0c03be,2026-04-16T19:37:44+03:30,unknown,"no bot marker, not a GitHub noreply address",requirements.txt,req,matplotlib,added,,~=3.10.3,1,other
