commit,committed_utc,section,package,change,after,on_default_branch,in_mcp_1_27_0_direct_requirements,dependents_changing_same_package_later_in_window
37891f42a4,2026-03-31T20:33:33+00:00,group:dev,logfire,added,>=3.0.0,True,False,0
37891f42a4,2026-03-31T20:33:33+00:00,project,opentelemetry-api,added,>=1.28.0,True,False,0
