"name","engine","total_rows","create_table_query"
"pypi_downloads_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_mv TO pypi.pypi_downloads (`project` String, `count` Int64) AS SELECT project, count() AS count FROM pypi.pypi GROUP BY project"
"pypi_downloads_per_day","SharedSummingMergeTree",1078202223,"CREATE TABLE pypi.pypi_downloads_per_day (`date` Date, `project` String, `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, date) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_installer","SharedSummingMergeTree",0,"CREATE TABLE pypi.pypi_downloads_per_day_by_installer (`date` Date, `installer` String, `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (date, installer) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version","SharedSummingMergeTree",7855549746,"CREATE TABLE pypi.pypi_downloads_per_day_by_version (`date` Date, `project` String, `version` String, `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_country","SharedSummingMergeTree",17803936574,"CREATE TABLE pypi.pypi_downloads_per_day_by_version_by_country (`date` Date, `project` String, `version` String, `country_code` String, `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date, country_code) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_country_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_by_country_mv TO pypi.pypi_downloads_per_day_by_version_by_country (`date` Date, `project` String, `version` String, `country_code` String, `count` Int64) AS SELECT date, project, version, country_code, count() AS count FROM pypi.pypi GROUP BY date, project, version, country_code"
"pypi_downloads_per_day_by_version_by_file_type","SharedSummingMergeTree",11724952220,"CREATE TABLE pypi.pypi_downloads_per_day_by_version_by_file_type (`date` Date, `project` String, `version` String, `type` LowCardinality(String), `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date, type) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_file_type_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_by_file_type_mv TO pypi.pypi_downloads_per_day_by_version_by_file_type (`date` Date, `project` String, `version` String, `type` LowCardinality(String), `count` Int64) AS SELECT date, project, version, type, count() AS count FROM pypi.pypi GROUP BY date, project, version, type"
"pypi_downloads_per_day_by_version_by_installer_by_type","SharedSummingMergeTree",11075104063,"CREATE TABLE pypi.pypi_downloads_per_day_by_version_by_installer_by_type (`project` String, `version` String, `date` Date, `installer` String, `type` LowCardinality(String), `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date, installer) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_installer_by_type_by_country","SharedSummingMergeTree",27622302738,"CREATE TABLE pypi.pypi_downloads_per_day_by_version_by_installer_by_type_by_country (`project` String, `version` String, `date` Date, `installer` String, `type` LowCardinality(String), `country_code` LowCardinality(String), `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date, country_code, installer, type) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_installer_by_type_by_country_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_by_installer_by_type_by_country_mv TO pypi.pypi_downloads_per_day_by_version_by_installer_by_type_by_country (`project` String, `version` String, `date` Date, `installer` String, `type` LowCardinality(String), `country_code` LowCardinality(String), `count` Int64) AS SELECT project, version, date, installer, type, country_code, count() AS count FROM pypi.pypi GROUP BY project, version, date, installer, type, country_code"
"pypi_downloads_per_day_by_version_by_installer_by_type_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_by_installer_by_type_mv TO pypi.pypi_downloads_per_day_by_version_by_installer_by_type (`project` String, `version` String, `date` Date, `installer` String, `type` LowCardinality(String), `count` Int64) AS SELECT project, version, date, installer, type, count() AS count FROM pypi.pypi GROUP BY project, version, date, installer, type"
"pypi_downloads_per_day_by_version_by_python","SharedSummingMergeTree",10364019166,"CREATE TABLE pypi.pypi_downloads_per_day_by_version_by_python (`date` Date, `project` String, `version` String, `python_minor` String, `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date, python_minor) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_python_by_country","SharedSummingMergeTree",24796870381,"CREATE TABLE pypi.pypi_downloads_per_day_by_version_by_python_by_country (`date` Date, `project` String, `version` String, `python_minor` String, `country_code` LowCardinality(String), `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date, country_code, python_minor) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_python_by_country_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_by_python_by_country_mv TO pypi.pypi_downloads_per_day_by_version_by_python_by_country (`date` Date, `project` String, `version` String, `python_minor` String, `country_code` LowCardinality(String), `count` Int64) AS SELECT date, project, version, python_minor, country_code, count() AS count FROM pypi.pypi GROUP BY date, project, version, python_minor, country_code"
"pypi_downloads_per_day_by_version_by_python_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_by_python_mv TO pypi.pypi_downloads_per_day_by_version_by_python (`date` Date, `project` String, `version` String, `python_minor` String, `count` Int64) AS SELECT date, project, version, python_minor, count() AS count FROM pypi.pypi GROUP BY date, project, version, python_minor"
"pypi_downloads_per_day_by_version_by_system","SharedSummingMergeTree",9216994076,"CREATE TABLE pypi.pypi_downloads_per_day_by_version_by_system (`date` Date, `project` String, `version` String, `system` String, `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date, system) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_system_by_country","SharedSummingMergeTree",21144831185,"CREATE TABLE pypi.pypi_downloads_per_day_by_version_by_system_by_country (`date` Date, `project` String, `version` String, `system` String, `country_code` String, `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, version, date, country_code, system) SETTINGS index_granularity = 8192"
"pypi_downloads_per_day_by_version_by_system_by_country_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_by_system_by_country_mv TO pypi.pypi_downloads_per_day_by_version_by_system_by_country (`date` Date, `project` String, `version` String, `system` String, `country_code` String, `count` Int64) AS SELECT date, project, version, system, country_code, count() AS count FROM pypi.pypi GROUP BY date, project, version, system, country_code"
"pypi_downloads_per_day_by_version_by_system_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_by_system_mv TO pypi.pypi_downloads_per_day_by_version_by_system (`date` Date, `project` String, `version` String, `system` String, `count` Int64) AS SELECT date, project, version, system, count() AS count FROM pypi.pypi GROUP BY date, project, version, system"
"pypi_downloads_per_day_by_version_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_by_version_mv TO pypi.pypi_downloads_per_day_by_version (`date` Date, `project` String, `version` String, `count` Int64) AS SELECT date, project, version, count() AS count FROM pypi.pypi GROUP BY date, project, version"
"pypi_downloads_per_day_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_day_mv TO pypi.pypi_downloads_per_day (`date` Date, `project` String, `count` Int64) AS SELECT date, project, count() AS count FROM pypi.pypi GROUP BY date, project"
"pypi_downloads_per_month","SharedSummingMergeTree",50089708,"CREATE TABLE pypi.pypi_downloads_per_month (`month` Date, `project` String, `count` Int64) ENGINE = SharedSummingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (month, project) SETTINGS index_granularity = 8192"
"pypi_downloads_per_month_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.pypi_downloads_per_month_mv TO pypi.pypi_downloads_per_month (`month` Date, `project` String, `count` Int64) AS SELECT toStartOfMonth(date) AS month, project, count() AS count FROM pypi.pypi WHERE date > (toStartOfMonth(now()) - toIntervalMonth(6)) GROUP BY month, project"
"pypi_raw","Null",0,"CREATE TABLE pypi.pypi_raw (`timestamp` Nullable(DateTime64(6)), `country_code` Nullable(String), `url` Nullable(String), `project` Nullable(String), `file` Tuple(filename Nullable(String), project Nullable(String), version Nullable(String), type Nullable(String)), `installer` Tuple(name Nullable(String), version Nullable(String)), `python` Nullable(String), `implementation` Tuple(name Nullable(String), version Nullable(String)), `distro` Tuple(name Nullable(String), version Nullable(String), id Nullable(String), libc Tuple(lib Nullable(String), version Nullable(String))), `system` Tuple(name Nullable(String), release Nullable(String)), `cpu` Nullable(String), `openssl_version` Nullable(String), `setuptools_version` Nullable(String), `rustc_version` Nullable(String), `tls_protocol` Nullable(String), `tls_cipher` Nullable(String), `ci` Nullable(Bool)) ENGINE = `Null`"
