series,release,measure,date,day_after_release,release_downloads,denominator,share_pct
installer class: Browser,1.26.0,first UTC day with share at or above 25 per cent,2026-01-24,0,169,409,41.32
installer class: Browser,1.26.0,first UTC day with share at or above 50 per cent,2026-01-25,1,435,606,71.78
installer class: Browser,1.26.0,highest daily share in the span read,2026-01-25,1,435,606,71.78
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.26.0,first UTC day with any download,2026-01-24,0,75,431,17.4
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.26.0,first UTC day with share at or above 10 per cent,2026-01-24,0,75,431,17.4
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.26.0,first UTC day with share at or above 25 per cent,2026-01-25,1,194,626,30.99
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.26.0,first UTC day with share at or above 50 per cent,not reached,,,,
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.26.0,highest daily share in the span read,2026-02-21,28,190,434,43.78
installer class: none recorded,1.26.0,first UTC day with any download,2026-01-24,0,488,1735,28.13
installer class: none recorded,1.26.0,first UTC day with share at or above 10 per cent,2026-01-24,0,488,1735,28.13
installer class: none recorded,1.26.0,first UTC day with share at or above 25 per cent,2026-01-24,0,488,1735,28.13
installer class: none recorded,1.26.0,first UTC day with share at or above 50 per cent,2026-01-25,1,4406,5767,76.4
installer class: none recorded,1.26.0,highest daily share in the span read,2026-01-27,3,48280,52108,92.65
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.26.0,first UTC day with any download,2026-01-25,1,3,52,5.77
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.26.0,first UTC day with share at or above 10 per cent,2026-01-27,3,212,309,68.61
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.26.0,first UTC day with share at or above 25 per cent,2026-01-27,3,212,309,68.61
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.26.0,first UTC day with share at or above 50 per cent,2026-01-27,3,212,309,68.61
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.26.0,highest daily share in the span read,2026-02-21,28,31,33,93.94
installer class: pip,1.26.0,first UTC day with any download,2026-01-24,0,84927,788026,10.78
installer class: pip,1.26.0,first UTC day with share at or above 10 per cent,2026-01-24,0,84927,788026,10.78
installer class: pip,1.26.0,first UTC day with share at or above 25 per cent,2026-01-25,1,468597,741065,63.23
installer class: pip,1.26.0,first UTC day with share at or above 50 per cent,2026-01-25,1,468597,741065,63.23
installer class: pip,1.26.0,highest daily share in the span read,2026-01-25,1,468597,741065,63.23
"installer class: poetry, pdm and other project managers",1.26.0,first UTC day with any download,2026-01-24,0,343,26701,1.28
"installer class: poetry, pdm and other project managers",1.26.0,first UTC day with share at or above 10 per cent,2026-01-27,3,9196,73964,12.43
"installer class: poetry, pdm and other project managers",1.26.0,first UTC day with share at or above 25 per cent,2026-02-05,12,81638,135427,60.28
"installer class: poetry, pdm and other project managers",1.26.0,first UTC day with share at or above 50 per cent,2026-02-05,12,81638,135427,60.28
"installer class: poetry, pdm and other project managers",1.26.0,highest daily share in the span read,2026-02-06,13,177124,220617,80.29
installer class: requests,1.26.0,first UTC day with any download,2026-01-24,0,41,526,7.79
installer class: requests,1.26.0,first UTC day with share at or above 10 per cent,2026-01-26,2,352,2548,13.81
installer class: requests,1.26.0,first UTC day with share at or above 25 per cent,2026-02-06,13,388,1552,25.0
installer class: requests,1.26.0,first UTC day with share at or above 50 per cent,2026-02-27,34,698,1339,52.13
installer class: requests,1.26.0,highest daily share in the span read,2026-02-27,34,698,1339,52.13
installer class: uv,1.26.0,first UTC day with any download,2026-01-24,0,102034,768050,13.28
installer class: uv,1.26.0,first UTC day with share at or above 10 per cent,2026-01-24,0,102034,768050,13.28
installer class: uv,1.26.0,first UTC day with share at or above 25 per cent,2026-01-25,1,566733,911507,62.18
installer class: uv,1.26.0,first UTC day with share at or above 50 per cent,2026-01-25,1,566733,911507,62.18
installer class: uv,1.26.0,highest daily share in the span read,2026-02-22,29,1042474,1400207,74.45
CI flag: false,1.27.0,first UTC day with any download,2026-04-02,0,1453665,4404452,33.0
CI flag: false,1.27.0,first UTC day with share at or above 10 per cent,2026-04-02,0,1453665,4404452,33.0
CI flag: false,1.27.0,first UTC day with share at or above 25 per cent,2026-04-02,0,1453665,4404452,33.0
CI flag: false,1.27.0,first UTC day with share at or above 50 per cent,2026-04-03,1,2861438,4050077,70.65
CI flag: false,1.27.0,highest daily share in the span read,2026-04-12,10,5808116,6658425,87.23
CI flag: true,1.27.0,first UTC day with any download,2026-04-02,0,185874,2946819,6.31
CI flag: true,1.27.0,first UTC day with share at or above 10 per cent,2026-04-03,1,340025,2607103,13.04
CI flag: true,1.27.0,first UTC day with share at or above 25 per cent,not reached,,,,
CI flag: true,1.27.0,first UTC day with share at or above 50 per cent,not reached,,,,
CI flag: true,1.27.0,highest daily share in the span read,2026-04-29,27,794048,3493846,22.73
CI flag: false,1.26.0,first UTC day with any download,2026-01-24,0,162090,1232817,13.15
CI flag: false,1.26.0,first UTC day with share at or above 10 per cent,2026-01-24,0,162090,1232817,13.15
CI flag: false,1.26.0,first UTC day with share at or above 25 per cent,2026-01-25,1,903339,1343038,67.26
CI flag: false,1.26.0,first UTC day with share at or above 50 per cent,2026-01-25,1,903339,1343038,67.26
CI flag: false,1.26.0,highest daily share in the span read,2026-02-22,29,1378520,1897971,72.63
CI flag: true,1.26.0,first UTC day with any download,2026-01-24,0,25987,353103,7.36
CI flag: true,1.26.0,first UTC day with share at or above 10 per cent,2026-01-25,1,139455,347269,40.16
CI flag: true,1.26.0,first UTC day with share at or above 25 per cent,2026-01-25,1,139455,347269,40.16
CI flag: true,1.26.0,first UTC day with share at or above 50 per cent,not reached,,,,
CI flag: true,1.26.0,highest daily share in the span read,2026-02-22,29,218947,446732,49.01
