"project","version","first_upload_utc","file_types"
"lean-lsp-mcp","0.23.1","2026-03-04 15:04:08.580","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.23.2","2026-03-08 13:24:23.216","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.24.0","2026-03-11 14:23:15.274","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.25.0","2026-03-17 13:14:05.606","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.25.1","2026-03-17 13:55:14.952","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.26.0","2026-04-08 18:49:02.852","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.26.1","2026-04-10 14:52:14.791","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.26.2","2026-05-04 09:20:41.073","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.27.0","2026-06-09 15:31:17.137","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.28.0","2026-07-06 12:55:23.098","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.28.1","2026-07-17 18:09:01.019","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.29.0","2026-07-28 08:45:15.378","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.30.0","2026-08-19 19:09:54.540","['sdist','bdist_wheel']"
