"date","version_class","type","downloads"
"2026-04-07","1.27.0","bdist_wheel",3323570
"2026-04-07","1.27.0","sdist",357
"2026-04-07","other","bdist_wheel",2618572
"2026-04-07","other","sdist",163
"2026-04-08","1.25.0","bdist_wheel",267096
"2026-04-08","1.25.0","sdist",57
"2026-04-08","1.26.0","bdist_wheel",1153945
"2026-04-08","1.26.0","sdist",181
"2026-04-08","1.27.0","bdist_wheel",4755543
"2026-04-08","1.27.0","sdist",527
"2026-04-08","other","bdist_wheel",2632450
"2026-04-08","other","sdist",178
"2026-04-09","1.25.0","bdist_wheel",278332
"2026-04-09","1.25.0","sdist",24
"2026-04-09","1.26.0","bdist_wheel",1169797
"2026-04-09","1.26.0","sdist",168
"2026-04-09","1.27.0","bdist_wheel",4489669
"2026-04-09","1.27.0","sdist",551
"2026-04-09","other","bdist_wheel",2634298
"2026-04-09","other","sdist",314
"2026-04-10","1.25.0","bdist_wheel",247371
"2026-04-10","1.25.0","sdist",15
"2026-04-10","1.26.0","bdist_wheel",1054384
"2026-04-10","1.26.0","sdist",144
"2026-04-10","1.27.0","bdist_wheel",3564198
"2026-04-10","1.27.0","sdist",707
"2026-04-10","other","bdist_wheel",2520536
"2026-04-10","other","sdist",410
"2026-04-11","1.25.0","bdist_wheel",139691
"2026-04-11","1.25.0","sdist",66
"2026-04-11","1.26.0","bdist_wheel",575001
"2026-04-11","1.26.0","sdist",157
"2026-04-11","1.27.0","bdist_wheel",3418676
"2026-04-11","1.27.0","sdist",249
"2026-04-11","other","bdist_wheel",1878821
"2026-04-11","other","sdist",233
"2026-04-12","1.25.0","bdist_wheel",151814
"2026-04-12","1.25.0","sdist",19
"2026-04-12","1.26.0","bdist_wheel",608726
"2026-04-12","1.26.0","sdist",55
"2026-04-12","1.27.0","bdist_wheel",6161770
"2026-04-12","1.27.0","sdist",213
"2026-04-12","other","bdist_wheel",1810961
"2026-04-12","other","sdist",185
"2026-04-13","1.25.0","bdist_wheel",262399
"2026-04-13","1.25.0","sdist",32
"2026-04-13","1.26.0","bdist_wheel",1045898
"2026-04-13","1.26.0","sdist",214
"2026-04-13","1.27.0","bdist_wheel",6095210
"2026-04-13","1.27.0","sdist",393
"2026-04-13","other","bdist_wheel",2402548
"2026-04-13","other","sdist",356
"2026-04-14","1.25.0","bdist_wheel",285324
"2026-04-14","1.25.0","sdist",13
"2026-04-14","1.26.0","bdist_wheel",1116687
"2026-04-14","1.26.0","sdist",145
"2026-04-14","1.27.0","bdist_wheel",6698742
"2026-04-14","1.27.0","sdist",342
"2026-04-14","other","bdist_wheel",2533376
"2026-04-14","other","sdist",214
"2026-04-15","1.25.0","bdist_wheel",283041
"2026-04-15","1.25.0","sdist",51
"2026-04-15","1.26.0","bdist_wheel",1139797
"2026-04-15","1.26.0","sdist",146
"2026-04-15","1.27.0","bdist_wheel",5164286
"2026-04-15","1.27.0","sdist",417
"2026-04-15","other","bdist_wheel",2617025
"2026-04-15","other","sdist",222
"2026-04-16","1.25.0","bdist_wheel",270776
"2026-04-16","1.25.0","sdist",15
"2026-04-16","1.26.0","bdist_wheel",1130509
"2026-04-16","1.26.0","sdist",118
"2026-04-16","1.27.0","bdist_wheel",4419354
"2026-04-16","1.27.0","sdist",515
"2026-04-16","other","bdist_wheel",2526394
"2026-04-16","other","sdist",380
"2026-04-17","1.25.0","bdist_wheel",269617
"2026-04-17","1.25.0","sdist",22
"2026-04-17","1.26.0","bdist_wheel",1047258
"2026-04-17","1.26.0","sdist",100
"2026-04-17","1.27.0","bdist_wheel",5657158
"2026-04-17","1.27.0","sdist",537
"2026-04-17","other","bdist_wheel",2480835
"2026-04-17","other","sdist",405
"2026-04-18","1.25.0","bdist_wheel",161585
"2026-04-18","1.25.0","sdist",10
"2026-04-18","1.26.0","bdist_wheel",526718
"2026-04-18","1.26.0","sdist",44
"2026-04-18","1.27.0","bdist_wheel",5074736
"2026-04-18","1.27.0","sdist",114
"2026-04-18","other","bdist_wheel",1865215
"2026-04-18","other","sdist",97
"2026-04-19","1.25.0","bdist_wheel",142141
"2026-04-19","1.25.0","sdist",12
"2026-04-19","1.26.0","bdist_wheel",528822
"2026-04-19","1.26.0","sdist",34
"2026-04-19","1.27.0","bdist_wheel",5099694
"2026-04-19","1.27.0","sdist",130
"2026-04-19","other","bdist_wheel",1886209
"2026-04-19","other","sdist",106
"2026-04-20","1.25.0","bdist_wheel",261008
"2026-04-20","1.25.0","sdist",16
"2026-04-20","1.26.0","bdist_wheel",1031896
"2026-04-20","1.26.0","sdist",70
"2026-04-20","1.27.0","bdist_wheel",6163012
"2026-04-20","1.27.0","sdist",304
"2026-04-20","other","bdist_wheel",2569609
"2026-04-20","other","sdist",169
"2026-04-21","1.25.0","bdist_wheel",286004
"2026-04-21","1.25.0","sdist",17
"2026-04-21","1.26.0","bdist_wheel",1112016
"2026-04-21","1.26.0","sdist",140
"2026-04-21","1.27.0","bdist_wheel",6380393
"2026-04-21","1.27.0","sdist",290
"2026-04-21","other","bdist_wheel",2852981
