"date","version","downloads"
"2026-06-29","1.3.0",2788
"2026-06-29","1.3.0rc1",12
"2026-06-29","1.4.0",2072
"2026-06-29","1.4.1",2355
"2026-06-29","1.5.0",5015
"2026-06-29","1.6.0",17938
"2026-06-29","1.7.0",2131
"2026-06-29","1.7.1",2294
"2026-06-29","1.8.0",3089
"2026-06-29","1.8.1",10707
"2026-06-29","1.9.0",16825
"2026-06-29","1.9.1",13757
"2026-06-29","1.9.2",13248
"2026-06-29","1.9.3",13654
"2026-06-29","1.9.4",44791
"2026-06-29","2.0.0a1",606
"2026-06-29","2.0.0a2",2430
"2026-06-29","2.0.0a3",11354
"2026-06-30","0.9.1",2120
"2026-06-30","1.0.0",2131
"2026-06-30","1.1.0",1291
"2026-06-30","1.1.1",1538
"2026-06-30","1.1.2",1838
"2026-06-30","1.1.3",2413
"2026-06-30","1.10.0",12925
"2026-06-30","1.10.1",22075
"2026-06-30","1.11.0",17339
"2026-06-30","1.12.0",17829
"2026-06-30","1.12.1",43737
"2026-06-30","1.12.2",19499
"2026-06-30","1.12.3",14277
"2026-06-30","1.12.4",81328
"2026-06-30","1.13.0",23056
"2026-06-30","1.13.1",30989
"2026-06-30","1.14.0",22410
"2026-06-30","1.14.1",25200
"2026-06-30","1.15.0",25909
"2026-06-30","1.16.0",58365
"2026-06-30","1.17.0",45726
"2026-06-30","1.18.0",64153
"2026-06-30","1.19.0",78661
"2026-06-30","1.2.0",2698
"2026-06-30","1.2.0rc1",3
"2026-06-30","1.2.1",1623
"2026-06-30","1.20.0",66043
"2026-06-30","1.21.0",68556
"2026-06-30","1.21.1",67397
"2026-06-30","1.21.2",67926
"2026-06-30","1.22.0",81858
"2026-06-30","1.23.0",90248
"2026-06-30","1.23.1",78627
"2026-06-30","1.23.2",107844
"2026-06-30","1.23.3",634992
"2026-06-30","1.24.0",205639
"2026-06-30","1.25.0",288936
"2026-06-30","1.26.0",1204748
"2026-06-30","1.27.0",540386
"2026-06-30","1.27.1",691294
"2026-06-30","1.27.2",444114
"2026-06-30","1.28.0",468975
"2026-06-30","1.28.1",5304115
"2026-06-30","1.3.0",2698
"2026-06-30","1.3.0rc1",3
"2026-06-30","1.4.0",1963
"2026-06-30","1.4.1",2306
"2026-06-30","1.5.0",3679
"2026-06-30","1.6.0",17574
"2026-06-30","1.7.0",1913
"2026-06-30","1.7.1",2153
"2026-06-30","1.8.0",2837
"2026-06-30","1.8.1",9825
"2026-06-30","1.9.0",15790
"2026-06-30","1.9.1",14236
"2026-06-30","1.9.2",13055
"2026-06-30","1.9.3",14031
"2026-06-30","1.9.4",45009
"2026-06-30","2.0.0a1",673
"2026-06-30","2.0.0a2",3955
"2026-06-30","2.0.0a3",12937
"2026-06-30","2.0.0b1",573
"2026-07-01","0.9.1",1829
"2026-07-01","1.0.0",2036
"2026-07-01","1.1.0",781
"2026-07-01","1.1.1",1137
"2026-07-01","1.1.2",1677
"2026-07-01","1.1.3",2214
"2026-07-01","1.10.0",12490
"2026-07-01","1.10.1",20964
"2026-07-01","1.11.0",16543
"2026-07-01","1.12.0",21570
"2026-07-01","1.12.1",37089
"2026-07-01","1.12.2",17779
"2026-07-01","1.12.3",13973
"2026-07-01","1.12.4",78878
"2026-07-01","1.13.0",23529
"2026-07-01","1.13.1",27949
"2026-07-01","1.14.0",23291
"2026-07-01","1.14.1",25552
"2026-07-01","1.15.0",25905
"2026-07-01","1.16.0",55249
"2026-07-01","1.17.0",26830
"2026-07-01","1.18.0",63050
"2026-07-01","1.19.0",75584
"2026-07-01","1.2.0",2570
"2026-07-01","1.2.0rc1",7
"2026-07-01","1.2.1",1569
"2026-07-01","1.20.0",63613
"2026-07-01","1.21.0",66518
"2026-07-01","1.21.1",66319
"2026-07-01","1.21.2",66144
"2026-07-01","1.22.0",80841
"2026-07-01","1.23.0",87948
"2026-07-01","1.23.1",78836
"2026-07-01","1.23.2",68802
"2026-07-01","1.23.3",606641
"2026-07-01","1.24.0",183866
"2026-07-01","1.25.0",284289
"2026-07-01","1.26.0",1263290
"2026-07-01","1.27.0",513127
"2026-07-01","1.27.1",910127
"2026-07-01","1.27.2",489965
"2026-07-01","1.28.0",486983
"2026-07-01","1.28.1",5471960
"2026-07-01","1.3.0",2576
"2026-07-01","1.3.0rc1",4
"2026-07-01","1.4.0",2224
"2026-07-01","1.4.1",2328
"2026-07-01","1.5.0",2852
"2026-07-01","1.6.0",18017
"2026-07-01","1.7.0",1832
"2026-07-01","1.7.1",2319
"2026-07-01","1.8.0",2745
"2026-07-01","1.8.1",9914
"2026-07-01","1.9.0",14963
"2026-07-01","1.9.1",13617
"2026-07-01","1.9.2",13816
"2026-07-01","1.9.3",14690
"2026-07-01","1.9.4",47224
"2026-07-01","2.0.0a1",540
"2026-07-01","2.0.0a2",874
"2026-07-01","2.0.0a3",3736
"2026-07-01","2.0.0b1",11517
"2026-07-02","0.9.1",1576
"2026-07-02","1.0.0",1537
"2026-07-02","1.1.0",766
"2026-07-02","1.1.1",1332
"2026-07-02","1.1.2",1642
"2026-07-02","1.1.3",3646
"2026-07-02","1.10.0",13045
"2026-07-02","1.10.1",22467
"2026-07-02","1.11.0",16324
"2026-07-02","1.12.0",27796
"2026-07-02","1.12.1",32749
"2026-07-02","1.12.2",18968
"2026-07-02","1.12.3",13646
"2026-07-02","1.12.4",82571
"2026-07-02","1.13.0",23544
"2026-07-02","1.13.1",27675
"2026-07-02","1.14.0",23427
"2026-07-02","1.14.1",26118
"2026-07-02","1.15.0",26005
"2026-07-02","1.16.0",56731
"2026-07-02","1.17.0",26440
