"date","version","downloads"
"2026-01-20","1.11.0",15158
"2026-01-20","1.12.0",11755
"2026-01-20","1.12.1",7459
"2026-01-20","1.12.2",20510
"2026-01-20","1.12.3",13084
"2026-01-20","1.12.4",85102
"2026-01-20","1.13.0",18413
"2026-01-20","1.13.1",32168
"2026-01-20","1.14.0",18680
"2026-01-20","1.14.1",20324
"2026-01-20","1.15.0",22518
"2026-01-20","1.16.0",80867
"2026-01-20","1.17.0",26523
"2026-01-20","1.18.0",23403
"2026-01-20","1.19.0",28920
"2026-01-20","1.2.0",912
"2026-01-20","1.2.0rc1",7
"2026-01-20","1.2.1",878
"2026-01-20","1.20.0",30864
"2026-01-20","1.21.0",26758
"2026-01-20","1.21.1",20522
"2026-01-20","1.21.2",28643
"2026-01-20","1.22.0",76428
"2026-01-20","1.23.0",36399
"2026-01-20","1.23.1",36916
"2026-01-20","1.23.2",56472
"2026-01-20","1.23.3",223628
"2026-01-20","1.24.0",74223
"2026-01-20","1.25.0",1143249
"2026-01-20","1.3.0",2477
"2026-01-20","1.3.0rc1",5
"2026-01-20","1.4.0",836
"2026-01-20","1.4.1",3540
"2026-01-20","1.5.0",5974
"2026-01-20","1.6.0",14162
"2026-01-20","1.7.0",4130
"2026-01-20","1.7.1",4580
"2026-01-20","1.8.0",5308
"2026-01-20","1.8.1",14022
"2026-01-20","1.9.0",6964
"2026-01-20","1.9.1",5321
"2026-01-20","1.9.2",7140
"2026-01-20","1.9.3",6298
"2026-01-20","1.9.4",33625
"2026-01-21","0.9.1",959
"2026-01-21","1.0.0",1304
"2026-01-21","1.1.0",696
"2026-01-21","1.1.1",644
"2026-01-21","1.1.2",1686
"2026-01-21","1.1.3",2572
"2026-01-21","1.10.0",5792
"2026-01-21","1.10.1",14168
"2026-01-21","1.11.0",18083
"2026-01-21","1.12.0",13516
"2026-01-21","1.12.1",8283
"2026-01-21","1.12.2",22386
"2026-01-21","1.12.3",14030
"2026-01-21","1.12.4",97047
"2026-01-21","1.13.0",18001
"2026-01-21","1.13.1",32296
"2026-01-21","1.14.0",18542
"2026-01-21","1.14.1",19315
"2026-01-21","1.15.0",22487
"2026-01-21","1.16.0",81140
"2026-01-21","1.17.0",23116
"2026-01-21","1.18.0",23263
"2026-01-21","1.19.0",29388
"2026-01-21","1.2.0",954
"2026-01-21","1.2.0rc1",4
"2026-01-21","1.2.1",1005
"2026-01-21","1.20.0",31668
"2026-01-21","1.21.0",27768
"2026-01-21","1.21.1",22555
"2026-01-21","1.21.2",27483
"2026-01-21","1.22.0",82991
"2026-01-21","1.23.0",37368
"2026-01-21","1.23.1",39771
"2026-01-21","1.23.2",78582
"2026-01-21","1.23.3",170778
"2026-01-21","1.24.0",79421
"2026-01-21","1.25.0",1280515
"2026-01-21","1.3.0",2104
"2026-01-21","1.3.0rc1",3
"2026-01-21","1.4.0",1035
"2026-01-21","1.4.1",3032
"2026-01-21","1.5.0",6054
"2026-01-21","1.6.0",18059
"2026-01-21","1.7.0",4666
"2026-01-21","1.7.1",10809
"2026-01-21","1.8.0",5759
"2026-01-21","1.8.1",14428
"2026-01-21","1.9.0",8625
"2026-01-21","1.9.1",6013
"2026-01-21","1.9.2",7710
"2026-01-21","1.9.3",8059
"2026-01-21","1.9.4",33118
"2026-01-22","0.9.1",1131
"2026-01-22","1.0.0",1588
"2026-01-22","1.1.0",811
"2026-01-22","1.1.1",677
"2026-01-22","1.1.2",1783
"2026-01-22","1.1.3",2098
"2026-01-22","1.10.0",5939
"2026-01-22","1.10.1",13706
"2026-01-22","1.11.0",16403
"2026-01-22","1.12.0",13302
"2026-01-22","1.12.1",7823
"2026-01-22","1.12.2",23093
"2026-01-22","1.12.3",13551
"2026-01-22","1.12.4",97540
"2026-01-22","1.13.0",17700
"2026-01-22","1.13.1",28488
"2026-01-22","1.14.0",19425
"2026-01-22","1.14.1",20223
"2026-01-22","1.15.0",22830
"2026-01-22","1.16.0",78783
"2026-01-22","1.17.0",22469
"2026-01-22","1.18.0",24127
"2026-01-22","1.19.0",29754
"2026-01-22","1.2.0",1097
"2026-01-22","1.2.0rc1",3
"2026-01-22","1.2.1",1284
"2026-01-22","1.20.0",30457
"2026-01-22","1.21.0",24809
"2026-01-22","1.21.1",20526
"2026-01-22","1.21.2",25406
"2026-01-22","1.22.0",72959
"2026-01-22","1.23.0",37248
"2026-01-22","1.23.1",38609
"2026-01-22","1.23.2",82570
"2026-01-22","1.23.3",286698
"2026-01-22","1.24.0",80584
"2026-01-22","1.25.0",1352438
"2026-01-22","1.3.0",1788
"2026-01-22","1.3.0rc1",7
"2026-01-22","1.4.0",1090
"2026-01-22","1.4.1",2979
"2026-01-22","1.5.0",6343
"2026-01-22","1.6.0",12902
"2026-01-22","1.7.0",4981
"2026-01-22","1.7.1",5601
"2026-01-22","1.8.0",6010
"2026-01-22","1.8.1",14272
"2026-01-22","1.9.0",7128
"2026-01-22","1.9.1",6036
"2026-01-22","1.9.2",9105
"2026-01-22","1.9.3",8433
"2026-01-22","1.9.4",29932
"2026-01-23","0.9.1",900
"2026-01-23","1.0.0",1274
"2026-01-23","1.1.0",759
"2026-01-23","1.1.1",631
"2026-01-23","1.1.2",1639
"2026-01-23","1.1.3",2176
"2026-01-23","1.10.0",5900
"2026-01-23","1.10.1",12857
"2026-01-23","1.11.0",14994
"2026-01-23","1.12.0",13505
"2026-01-23","1.12.1",8137
"2026-01-23","1.12.2",21361
"2026-01-23","1.12.3",11933
"2026-01-23","1.12.4",91418
"2026-01-23","1.13.0",17172
"2026-01-23","1.13.1",25162
"2026-01-23","1.14.0",18076
"2026-01-23","1.14.1",20917
"2026-01-23","1.15.0",22571
"2026-01-23","1.16.0",74678
"2026-01-23","1.17.0",21450
"2026-01-23","1.18.0",25015
"2026-01-23","1.19.0",28628
"2026-01-23","1.2.0",1094
"2026-01-23","1.2.0rc1",6
"2026-01-23","1.2.1",1441
"2026-01-23","1.20.0",27114
"2026-01-23","1.21.0",24109
"2026-01-23","1.21.1",20156
"2026-01-23","1.21.2",23561
"2026-01-23","1.22.0",72032
"2026-01-23","1.23.0",36027
"2026-01-23","1.23.1",35037
"2026-01-23","1.23.2",70632
"2026-01-23","1.23.3",232535
"2026-01-23","1.24.0",77961
"2026-01-23","1.25.0",1339687
"2026-01-23","1.3.0",1824
"2026-01-23","1.3.0rc1",2
"2026-01-23","1.4.0",1010
"2026-01-23","1.4.1",2948
"2026-01-23","1.5.0",6248
"2026-01-23","1.6.0",17017
"2026-01-23","1.7.0",4965
"2026-01-23","1.7.1",5591
"2026-01-23","1.8.0",5470
"2026-01-23","1.8.1",13929
"2026-01-23","1.9.0",6822
"2026-01-23","1.9.1",5925
"2026-01-23","1.9.2",9741
"2026-01-23","1.9.3",6615
"2026-01-23","1.9.4",21945
"2026-01-24","0.9.1",593
"2026-01-24","1.0.0",726
"2026-01-24","1.1.0",494
"2026-01-24","1.1.1",410
"2026-01-24","1.1.2",1422
"2026-01-24","1.1.3",1164
"2026-01-24","1.10.0",2507
"2026-01-24","1.10.1",4841
"2026-01-24","1.11.0",5934
"2026-01-24","1.12.0",5495
"2026-01-24","1.12.1",3044
"2026-01-24","1.12.2",7515
"2026-01-24","1.12.3",5169
"2026-01-24","1.12.4",25439
"2026-01-24","1.13.0",7578
"2026-01-24","1.13.1",9649
"2026-01-24","1.14.0",8223
"2026-01-24","1.14.1",8997
"2026-01-24","1.15.0",9700
"2026-01-24","1.16.0",38633
"2026-01-24","1.17.0",10366
"2026-01-24","1.18.0",7951
"2026-01-24","1.19.0",9648
"2026-01-24","1.2.0",829
"2026-01-24","1.2.0rc1",7
"2026-01-24","1.2.1",987
"2026-01-24","1.20.0",12044
"2026-01-24","1.21.0",10062
"2026-01-24","1.21.1",8371
"2026-01-24","1.21.2",11212
"2026-01-24","1.22.0",43439
"2026-01-24","1.23.0",16379
"2026-01-24","1.23.1",12405
"2026-01-24","1.23.2",40411
"2026-01-24","1.23.3",174931
"2026-01-24","1.24.0",36603
"2026-01-24","1.25.0",791821
"2026-01-24","1.26.0",188077
"2026-01-24","1.3.0",1120
"2026-01-24","1.3.0rc1",2
"2026-01-24","1.4.0",601
"2026-01-24","1.4.1",2346
"2026-01-24","1.5.0",3311
"2026-01-24","1.6.0",12557
"2026-01-24","1.7.0",2478
"2026-01-24","1.7.1",4050
"2026-01-24","1.8.0",2477
"2026-01-24","1.8.1",8146
"2026-01-24","1.9.0",3071
"2026-01-24","1.9.1",2688
"2026-01-24","1.9.2",4996
"2026-01-24","1.9.3",2678
"2026-01-24","1.9.4",12323
"2026-01-25","0.9.1",499
"2026-01-25","1.0.0",823
"2026-01-25","1.1.0",487
"2026-01-25","1.1.1",378
"2026-01-25","1.1.2",1181
"2026-01-25","1.1.3",1551
"2026-01-25","1.10.0",2712
"2026-01-25","1.10.1",5444
"2026-01-25","1.11.0",6047
"2026-01-25","1.12.0",5362
"2026-01-25","1.12.1",3472
"2026-01-25","1.12.2",8527
"2026-01-25","1.12.3",8105
"2026-01-25","1.12.4",21841
"2026-01-25","1.13.0",7356
"2026-01-25","1.13.1",10401
"2026-01-25","1.14.0",8516
"2026-01-25","1.14.1",9523
"2026-01-25","1.15.0",9468
"2026-01-25","1.16.0",41857
"2026-01-25","1.17.0",10126
"2026-01-25","1.18.0",7925
"2026-01-25","1.19.0",10119
"2026-01-25","1.2.0",864
"2026-01-25","1.2.0rc1",6
"2026-01-25","1.2.1",975
"2026-01-25","1.20.0",12707
"2026-01-25","1.21.0",11444
"2026-01-25","1.21.1",9495
"2026-01-25","1.21.2",11589
"2026-01-25","1.22.0",28960
"2026-01-25","1.23.0",16116
"2026-01-25","1.23.1",13237
"2026-01-25","1.23.2",17333
"2026-01-25","1.23.3",122263
"2026-01-25","1.24.0",39633
"2026-01-25","1.25.0",107580
"2026-01-25","1.26.0",1042794
"2026-01-25","1.3.0",1115
"2026-01-25","1.3.0rc1",7
"2026-01-25","1.4.0",598
"2026-01-25","1.4.1",2440
"2026-01-25","1.5.0",1884
"2026-01-25","1.6.0",7552
"2026-01-25","1.7.0",2718
"2026-01-25","1.7.1",7205
"2026-01-25","1.8.0",2963
"2026-01-25","1.8.1",8459
"2026-01-25","1.9.0",3935
"2026-01-25","1.9.1",3129
"2026-01-25","1.9.2",6697
"2026-01-25","1.9.3",3091
"2026-01-25","1.9.4",21798
"2026-01-26","0.9.1",879
"2026-01-26","1.0.0",1418
"2026-01-26","1.1.0",714
"2026-01-26","1.1.1",563
"2026-01-26","1.1.2",1707
"2026-01-26","1.1.3",2027
"2026-01-26","1.10.0",5237
"2026-01-26","1.10.1",10702
"2026-01-26","1.11.0",16494
"2026-01-26","1.12.0",11853
"2026-01-26","1.12.1",7150
"2026-01-26","1.12.2",19373
"2026-01-26","1.12.3",13621
"2026-01-26","1.12.4",85277
"2026-01-26","1.13.0",16061
"2026-01-26","1.13.1",173817
"2026-01-26","1.14.0",17400
"2026-01-26","1.14.1",18403
"2026-01-26","1.15.0",19909
"2026-01-26","1.16.0",81226
"2026-01-26","1.17.0",21285
"2026-01-26","1.18.0",19458
"2026-01-26","1.19.0",27537
"2026-01-26","1.2.0",1158
"2026-01-26","1.2.0rc1",7
"2026-01-26","1.2.1",1272
"2026-01-26","1.20.0",26763
"2026-01-26","1.21.0",24061
"2026-01-26","1.21.1",17717
"2026-01-26","1.21.2",23645
"2026-01-26","1.22.0",61229
"2026-01-26","1.23.0",35725
"2026-01-26","1.23.1",33869
"2026-01-26","1.23.2",52515
"2026-01-26","1.23.3",204544
"2026-01-26","1.24.0",63555
"2026-01-26","1.25.0",233323
"2026-01-26","1.26.0",1747775
"2026-01-26","1.3.0",1566
"2026-01-26","1.3.0rc1",4
"2026-01-26","1.4.0",1049
"2026-01-26","1.4.1",4546
"2026-01-26","1.5.0",2924
"2026-01-26","1.6.0",11865
"2026-01-26","1.7.0",4474
"2026-01-26","1.7.1",4954
"2026-01-26","1.8.0",5344
"2026-01-26","1.8.1",13966
"2026-01-26","1.9.0",7933
"2026-01-26","1.9.1",5422
"2026-01-26","1.9.2",9193
"2026-01-26","1.9.3",6681
"2026-01-26","1.9.4",30823
"2026-01-27","0.9.1",1052
"2026-01-27","1.0.0",1380
"2026-01-27","1.1.0",748
"2026-01-27","1.1.1",637
"2026-01-27","1.1.2",1648
"2026-01-27","1.1.3",2351
"2026-01-27","1.10.0",7403
"2026-01-27","1.10.1",14881
"2026-01-27","1.11.0",19361
"2026-01-27","1.12.0",13590
"2026-01-27","1.12.1",9334
"2026-01-27","1.12.2",23933
"2026-01-27","1.12.3",17062
"2026-01-27","1.12.4",103157
"2026-01-27","1.13.0",20002
"2026-01-27","1.13.1",109503
"2026-01-27","1.14.0",21960
"2026-01-27","1.14.1",23060
"2026-01-27","1.15.0",24714
"2026-01-27","1.16.0",78643
"2026-01-27","1.17.0",27130
"2026-01-27","1.18.0",24233
"2026-01-27","1.19.0",36598
"2026-01-27","1.2.0",1200
"2026-01-27","1.2.0rc1",14
"2026-01-27","1.2.1",1300
"2026-01-27","1.20.0",32699
"2026-01-27","1.21.0",29225
"2026-01-27","1.21.1",25595
"2026-01-27","1.21.2",26508
"2026-01-27","1.22.0",67973
"2026-01-27","1.23.0",43820
"2026-01-27","1.23.1",41801
"2026-01-27","1.23.2",132580
"2026-01-27","1.23.3",304265
"2026-01-27","1.24.0",76973
"2026-01-27","1.25.0",270742
"2026-01-27","1.26.0",1671046
"2026-01-27","1.3.0",1723
"2026-01-27","1.3.0rc1",11
"2026-01-27","1.4.0",913
"2026-01-27","1.4.1",4688
"2026-01-27","1.5.0",3555
"2026-01-27","1.6.0",17438
"2026-01-27","1.7.0",6227
"2026-01-27","1.7.1",9154
"2026-01-27","1.8.0",7358
"2026-01-27","1.8.1",15513
"2026-01-27","1.9.0",14038
"2026-01-27","1.9.1",7391
"2026-01-27","1.9.2",10041
"2026-01-27","1.9.3",8995
"2026-01-27","1.9.4",37941
"2026-01-28","0.9.1",1117
"2026-01-28","1.0.0",2314
"2026-01-28","1.1.0",764
"2026-01-28","1.1.1",659
"2026-01-28","1.1.2",1892
"2026-01-28","1.1.3",2232
"2026-01-28","1.10.0",6534
"2026-01-28","1.10.1",13772
"2026-01-28","1.11.0",18805
"2026-01-28","1.12.0",9724
"2026-01-28","1.12.1",8812
"2026-01-28","1.12.2",21711
"2026-01-28","1.12.3",13028
"2026-01-28","1.12.4",103579
"2026-01-28","1.13.0",18521
"2026-01-28","1.13.1",27739
"2026-01-28","1.14.0",19959
"2026-01-28","1.14.1",20774
"2026-01-28","1.15.0",21661
"2026-01-28","1.16.0",77877
"2026-01-28","1.17.0",24481
"2026-01-28","1.18.0",21362
"2026-01-28","1.19.0",35739
"2026-01-28","1.2.0",1356
"2026-01-28","1.2.0rc1",3
"2026-01-28","1.2.1",1328
"2026-01-28","1.20.0",29701
"2026-01-28","1.21.0",25948
"2026-01-28","1.21.1",23536
"2026-01-28","1.21.2",23340
"2026-01-28","1.22.0",70884
"2026-01-28","1.23.0",41602
